Entity,Code,Year,End-of-Life food emissions,Food consumption emissions,Food retail emissions,Food packaging emissions,Food transport emissions,Food processing emissions,Agricultural production emissions,Land use change emissions
Total GHGs,,1996,1229680673,362615380,286044174,616164747,609931874,462848897,6191381316,6432811114
Total GHGs,,1997,1240351025,385501424,315666834,620605845,616075893,468084156,6173578013,7386350947
Total GHGs,,1998,1248397471,358502140,344971313,621121789,610052002,471506528,6147089231,6850431693
Total GHGs,,1999,1259237714,361832155,382556693,616868943,625190076,453623918,6184079288,6509928012
Total GHGs,,2000,1271848553,368407844,416198422,638996755,646633246,466165883,6073559519,6352759023
Total GHGs,,2001,1275386281,372520049,459655583,652677378,651997085,477710669,6069341242,5889532296
Total GHGs,,2002,1289386903,374982071,491934946,644570079,664127236,488266383,6121784422,6832255780
Total GHGs,,2003,1309168205,387937201,536759255.99999994,698153541,687546747,494411079,6205651584,6499047049
Total GHGs,,2004,1328209431,401964701,578321959,796189104,712666705,542347003,6364990036,6810351328
Total GHGs,,2005,1342339864,411687145,623373983,841328312,721700424,564870094,6478354129,6558042607
Total GHGs,,2006,1369321003,416772633,657609830,867292972,737270543,582771708,6565358888,6401711568
Total GHGs,,2007,1383947841,424861833,703334405,915679012,752768632,603290854,6646599150,5914926183
Total GHGs,,2008,1398662760,417070768,711090622,931594362,756584203,618449581,6701374573,5886740835
Total GHGs,,2009,1414814041,415985687,703078926,917434294,748802491,610025253,6719716228,6194687711
Total GHGs,,2010,1427337732,429492701,714472967,943210978,777441143,623586026,6803780285,5850955539
Total GHGs,,2011,1449926476,436102207,715330811,1004003221,788692255,628093661,6877120795,5206510942
Total GHGs,,2012,1469859033,438653867,712763342,969443298,815205521,631414059,6913827308,5273395355
Total GHGs,,2013,1493096128,447540378,722590946,972167050,825863226,635935715,6987458817,5175445193
Total GHGs,,2014,1514450440,451684997,720046862,991912621,841935670,625005459,7029649079,5379223971
Total GHGs,,2015,1537874111,454594868,716028780,977403891,856572752,621574963,7060449662,5699252401
